window,latency_ms,arm,n_fills,pnl_gross_usd,notional_usd,killed,pnl_edge_usd,pnl_inventory_usd,inv_abs_mean_btc,inv_max_abs_btc,eff_half_spread_ticks,postfill_500ms_ticks,postfill_100ms_ticks,fill_rate_orders,quote_lifetime_s,sharpe_1s,max_drawdown_usd,touch_fidelity,pnl_net_A_0bps_usd,pnl_net_A_0bps_bps,pnl_net_B_1/2.5bps_usd,pnl_net_B_1/2.5bps_bps,pnl_gross_bps
1,0.0,adaptive_inventory,45,-0.26613579650009456,2087.168307635,0.0,0.049172511,-0.31530830750009453,0.003155224203703704,0.0069934,19.112813871221896,-45.664079617498935,-46.17123888009372,0.19796954314720813,2.665641025641026,-0.09575947824003922,0.3684681545001496,nan,-0.26613579650009456,-1.2751046263329706,-0.47485262726359456,-2.275104626332971,-1.2751046263329706
1,0.0,adaptive_full,26,-0.21603992299995411,1137.7444092540002,0.0,0.0268946725,-0.2429345954999541,0.002193238825925926,0.00485808,19.178561750800455,-52.196178146370684,-50.854696469447276,0.0708955223880597,2.022932330827068,-0.12092849983084598,0.2645487884999582,nan,-0.21603992299995411,-1.8988440746688253,-0.3298143639253541,-2.898844074668825,-1.8988440746688253
1,10.0,AS_scaled,41,-0.5506236000001081,1955.4904464,0.0,0.0333632,-0.5839868000001082,0.005623684444444445,0.01,13.842502696871628,-52.366836777030954,-43.5008712969878,0.02561576354679803,0.4829229239881541,-0.11582660502096266,0.675623599999966,nan,-0.5506236000001081,-2.815782613583154,-0.7461726446401081,-3.815782613583154,-2.815782613583154
1,10.0,adaptive_off,36,-0.5876294000000826,1955.5328522000002,0.0,0.033913200000000004,-0.6215426000000825,0.005683252592592592,0.01,14.070699527010207,-51.13561115260144,-42.14517467430089,0.174496644295302,3.120652863945578,-0.1182317973490841,0.7128294000000039,nan,-0.5876294000000826,-3.0049579547538245,-0.7831826852200826,-4.0049579547538245,-3.0049579547538245
1,10.0,adaptive_inventory,41,-0.30826270000002864,1949.000503728,0.0,0.031923937,-0.34018663700002866,0.0032021220222222223,0.00586697,13.288683949815596,-45.1232677306293,-41.610476243995436,0.1588235294117647,3.0900005714285714,-0.1275866006435607,0.37718625250000315,nan,-0.30826270000002864,-1.5816450504265718,-0.5031627503728286,-2.5816450504265718,-1.5816450504265718
1,10.0,adaptive_full,23,-0.33265695449996,1105.2484831830002,0.0,0.0186155445,-0.35127249899996005,0.0023641494185185187,0.0048136,13.6639181818382,-55.71715525764706,-45.566434500622805,0.052830188679245285,2.011595714828897,-0.15451409228576063,0.36755101899996134,nan,-0.33265695449996,-3.0097933592448163,-0.44318180281826003,-4.009793359244816,-3.0097933592448163
2,0.0,AS_scaled,27,0.08839193599999362,1954.708708768,0.0,0.03132808,0.05706385599999362,0.004772218806965543,0.00710176,12.998254069412358,-56.77878461987838,-39.80906954512866,0.043859649122807015,0.9396126760563381,0.0353376280822577,0.13186878400006208,nan,0.08839193599999362,0.45220004189629187,-0.10707893487680639,-0.5477999581037082,0.45220004189629187
2,0.0,adaptive_off,26,0.09006176000002597,1889.8300585920001,0.0,0.029642992000000003,0.06041876800002596,0.005089669714709151,0.00710176,12.721353236837047,-57.42568458348211,-39.87336235546156,0.16129032258064516,3.363398692810457,0.0336651454482652,0.13247895999995762,nan,0.09006176000002597,0.47656009909761743,-0.09892124585917406,-0.5234399009023827,0.47656009909761743
2,0.0,adaptive_inventory,29,-0.029676573499934022,2063.932153187,0.0,0.031162084000000003,-0.06083865749993403,0.002193447165616895,0.00463454,12.245256557513295,-54.9141908945552,-36.140987665575956,0.17088607594936708,3.298717948717949,-0.02453456936759649,0.09761274099992079,nan,-0.029676573499934022,-0.14378657483536578,-0.23606978881863402,-1.1437865748353657,-0.14378657483536578
2,0.0,adaptive_full,15,-0.07146411049999912,1170.9731991200001,0.0,0.017853872,-0.08931798249999912,0.0009401671582067432,0.00312729,12.365470350431382,-54.3617507786479,-34.253942413645746,0.05668016194331984,2.1281632653061227,-0.08124086132412417,0.08430656800001657,nan,-0.07146411049999912,-0.6102967220232302,-0.18856143041199913,-1.6102967220232303,-0.6102967220232302
